Station,Year,Season,L4_Chl-a,L4_Depth,L4_pH,L4_Sal,L4_DO,L4_COD,L4_DIP,L4_NO2-N,L4_NO3-N,L4_NH4-N,L4_DIN,L4_NO3/NO2,L4_NO3/NH4,L4_NO2/NH4,L4_Petro,L4_TN,L4_TP,L4_TN/TP,L4_Si,L4_SS,L4_COD_rate,L4_DIP_rate,L4_DIN_rate,L4_Petroleum_rate,L4_Max_rate,L4_N/P,L4_Si/N,L4_Si/P,L4_T,L4_Tr,L4_WindS,L4_WindD,L4_WaterC,L4_SeaC,L4_Weather
164589,2016,1,6.95,8,8.24,30.884,9.34,0.94,0.015,0.004,0.207,0.068,0.28,46.517,3.04,0.065,0.017,0.358,0.034,10.468,0.124,7.71,0.47,0.995,1.796,0.346,1.796,18.271,0.444,0.444,4.06,1.5,4,5,7,1,Sunny
165431,2016,1,4.8,7,8.21,30.987,9.18,1.22,0.005,0.003,0.168,0.069,0.24,52.012,2.445,0.047,0.025,0.29,0.055,5.321,0.174,19.1,0.61,0.331,1.399,0.506,1.399,48.276,0.725,0.725,4.77,0.5,6,55,7,2,Sunny
165489,2016,1,5.3,9.5,8.08,31.009,9.18,0.798,0.009,0.003,0.163,0.074,0.24,52.412,2.209,0.042,0.033,0.295,0.042,7.074,0.155,17.4,0.399,0.591,1.399,0.664,1.399,27.078,0.646,0.646,4.81,0.6,6,55,7,2,Sunny
165493,2016,1,6.1,9,8.16,31.065,9.12,0.822,0.013,0.003,0.16,0.076,0.239,52.459,2.105,0.04,0.036,0.296,0.039,7.57,0.147,9.14,0.411,0.887,1.391,0.716,1.391,17.974,0.615,0.615,5.85,0.7,6,55,7,2,Sunny
165603,2016,1,1.38,0.5,8.23,30.613,9.32,2.24,0.008,0.018,0.122,0.047,0.187,6.893,2.59,0.376,0.036,0.276,0.025,10.952,0.507,9.1,1.24,0.503,0.934,0.71,1.24,24.775,2.714,2.714,8.9,0.4,3,253,12,1,Sunny
165605,2016,1,0.795,0.7,8.21,30.495,9.86,2.95,0.006,0.016,0.118,0.044,0.178,7.329,2.694,0.368,0.038,0.22,0.023,9.735,0.454,13.6,1.95,0.413,0.89,0.754,1.95,28.74,2.552,2.552,8.8,0.5,2.6,270,12,1,Sunny
165609,2016,1,4.205,15,8.085,31.097,8.535,0.925,0.015,0.003,0.155,0.074,0.232,56.673,2.092,0.037,0.039,0.288,0.038,7.576,0.123,18,0.463,0.99,1.318,0.776,1.318,15.612,0.528,0.528,4.43,0.6,6,70,7,2,Sunny
165729,2016,1,3.72,18,8.06,31.109,8.48,0.762,0.016,0.003,0.158,0.076,0.236,57.77,2.089,0.036,0.03,0.311,0.048,6.516,0.156,17.7,0.381,1.027,1.364,0.602,1.364,14.547,0.66,0.66,4.12,0.5,6,70,7,2,Sunny
165791,2016,1,4.765,19,8.105,30.966,8.95,0.516,0.013,0.003,0.148,0.033,0.183,58.498,4.492,0.077,0.025,0.233,0.036,6.436,0.239,28.3,0.258,0.88,0.917,0.49,1.017,13.9,1.303,1.303,5.05,0.8,0.4,20,8,1,Sunny
165855,2016,1,6.1,9.5,8.18,30.924,9.16,1.02,0.012,0.002,0.158,0.043,0.203,78.607,3.666,0.047,0.039,0.264,0.039,6.735,0.19,13.1,0.51,0.807,1.031,0.776,1.031,16.786,0.935,0.935,5.44,1,0.5,18,8,1,Sunny
165971,2016,1,6.085,20,8.125,30.893,8.805,0.524,0.015,0.002,0.227,0.043,0.272,103.89,5.255,0.051,0.019,0.376,0.041,9.136,0.212,32.7,0.262,0.988,1.724,0.382,1.724,18.039,0.776,0.776,4.99,1,0.5,20,8,1,Sunny
166093,2016,1,5.68,18.5,8.055,30.852,8.905,0.752,0.013,0.002,0.193,0.04,0.234,88.303,4.843,0.055,0.016,0.292,0.038,7.745,0.179,30.3,0.376,0.887,1.344,0.316,1.344,17.626,0.761,0.761,4.55,0.5,0.5,19,9,1,Sunny
166097,2016,1,3.56,8,8.11,31.028,9.25,0.608,0.011,0.003,0.199,0.05,0.252,65.246,3.956,0.061,0.022,0.323,0.044,7.291,0.164,19.7,0.304,0.76,1.524,0.448,1.524,22.136,0.65,0.65,5.26,0.8,1,15,8,1,Sunny
166217,2016,1,6.21,9.5,8.14,31.027,9.15,0.624,0.009,0.003,0.195,0.05,0.247,66.327,3.939,0.059,0.031,0.307,0.043,7.207,0.254,34.3,0.312,0.594,1.474,0.612,1.474,27.771,1.027,1.027,5.04,0.8,1,10,8,1,Sunny
166273,2016,1,4.81,18,8.025,30.793,8.935,0.78,0.017,0.002,0.167,0.047,0.216,75.566,3.542,0.047,0.012,0.275,0.035,7.821,0.217,89.5,0.39,1.035,1.164,0.24,1.164,13.113,1.001,1.001,4.43,0.3,0.5,15,9,1,Sunny
166397,2016,1,4.09,21,8.15,30.844,8.455,0.568,0.009,0.002,0.179,0.046,0.228,83.063,3.854,0.046,0.019,0.283,0.038,7.376,0.246,23.7,0.284,0.63,1.276,0.37,1.276,24.085,1.081,1.081,4.91,0.8,1,20,8,1,Sunny
166453,2016,1,4.195,20,8.115,30.855,8.61,0.804,0.015,0.002,0.2,0.038,0.24,107.527,5.263,0.049,0.017,0.315,0.041,7.711,0.271,61.75,0.402,0.983,1.399,0.342,1.399,16.262,1.13,1.13,4.32,0.4,0.8,16,9,1,Sunny
166555,2016,1,0.474,1.7,8.13,31.945,10.02,0.557,0.006,0.001,0.147,0.013,0.161,156.716,11.308,0.072,0.008,0.822,0.01,86.254,0.19,4.9,0.279,0.387,0.805,0.164,1.91,27.7,1.181,1.181,7.1,0.8,4.2,70,14,1,Cloudy
166561,2016,1,0.442,5,8.08,32.252,9.93,0.743,0.004,0.004,0.133,0.013,0.15,35.185,10.31,0.293,0,0.48,0.03,16,0.131,1,0.372,0.262,0.748,0,1.885,38.087,0.875,0.875,6.8,1.2,4.5,63,9,1,Fog
166613,2016,1,0.222,2.2,8.15,31.824,11.92,0.541,0.019,0,0.204,0.003,0.207,0,66.45,0,0.004,0.314,0.023,13.652,0.306,2.4,0.271,1.132,1.071,0.082,1.206,10.674,1.478,1.478,5.3,0.9,2.3,175,13,1,Cloudy
166619,2016,1,0.648,4.5,8.1,32.323,9.58,0.854,0.003,0.009,0.203,0.021,0.233,23.36,9.713,0.416,0.004,0.576,0.031,18.521,0.212,4.7,0.427,0.2,1.326,0.07,1.535,77.53,0.911,0.911,6,1.1,4.4,84,10,1,Cloudy
295153,2016,1,2.63,20,8.185,31.197,9.35,0.781,0.015,0.003,0.156,0.069,0.228,53.608,2.256,0.042,0.019,0.297,0.039,7.545,0.201,14.15,0.391,0.99,1.281,0.37,1.281,15.358,0.881,0.881,4.38,1,4,350,7,1,Sunny
295167,2016,1,7.045,20,8.145,30.998,9.17,0.888,0.014,0.004,0.198,0.054,0.256,47.942,3.653,0.076,0.021,0.319,0.041,7.809,0.217,12.6,0.444,0.957,1.563,0.412,1.563,17.863,0.845,0.845,3.95,1.5,4,355,7,1,Sunny
295191,2016,1,5.89,20,8.125,31.032,9.015,0.988,0.014,0.004,0.211,0.059,0.274,52.428,3.556,0.068,0.022,0.347,0.047,7.444,0.235,12.42,0.494,0.937,1.737,0.448,1.737,19.481,0.857,0.857,4.09,1.5,4,350,7,1,Sunny
295197,2016,1,6.27,21,8.025,31.037,8.715,0.809,0.01,0.003,0.154,0.059,0.216,49.045,2.621,0.053,0.016,0.27,0.046,5.904,0.077,13.58,0.404,0.66,1.159,0.316,1.159,21.807,0.357,0.357,3.82,1,4,350,7,1,Sunny
